epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
173,104.528,0.67294,0.6312,0.8308,0.9828,0.99919,0.99455,0.85771,0.57443,0.49484,0.82657,0.000247716,0.000247716,0.000247716
174,105.13,0.68827,0.63632,0.815,0.98387,0.99808,0.99455,0.86271,0.56811,0.48966,0.82473,0.000239465,0.000239465,0.000239465
175,105.708,0.69156,0.62124,0.84694,0.98438,0.99774,0.99455,0.86352,0.56508,0.49,0.82496,0.000231213,0.000231213,0.000231213
176,106.326,0.70593,0.6652,0.85015,0.98366,0.99634,0.99455,0.86284,0.56817,0.49497,0.82397,0.000222961,0.000222961,0.000222961
177,106.892,0.68269,0.64412,0.84398,0.98366,0.99634,0.99455,0.86284,0.56817,0.49497,0.82397,0.00021471,0.00021471,0.00021471
178,107.482,0.63635,0.61326,0.81785,0.98461,0.99406,0.99455,0.8611,0.57132,0.49838,0.82397,0.000206458,0.000206458,0.000206458
179,108.073,0.6455,0.64923,0.81746,1,0.97844,0.99455,0.85826,0.57758,0.49432,0.82394,0.000198206,0.000198206,0.000198206
180,108.788,0.71654,0.66062,0.83461,0.98453,0.98863,0.99409,0.85895,0.57852,0.49375,0.82392,0.000189955,0.000189955,0.000189955
181,109.348,0.64739,0.64912,0.84458,0.98453,0.98863,0.99409,0.85895,0.57852,0.49375,0.82392,0.000181703,0.000181703,0.000181703
182,109.916,0.71567,0.66664,0.8464,0.98445,0.98641,0.99409,0.84912,0.57168,0.4928,0.82311,0.000173451,0.000173451,0.000173451
183,110.499,0.64748,0.63776,0.8227,0.98428,0.9811,0.99409,0.85308,0.56959,0.48684,0.8231,0.0001652,0.0001652,0.0001652
184,111.082,0.64845,0.60565,0.82783,0.99976,0.96342,0.99409,0.84976,0.5649,0.48341,0.82362,0.000156948,0.000156948,0.000156948
185,111.639,0.68279,0.60559,0.82172,0.99976,0.96342,0.99409,0.84976,0.5649,0.48341,0.82362,0.000148696,0.000148696,0.000148696
186,112.195,0.80368,0.73704,0.86418,0.99975,0.96338,0.99409,0.85225,0.55949,0.48105,0.82324,0.000140445,0.000140445,0.000140445
187,112.784,0.75116,0.67707,0.85667,0.98415,0.9769,0.99409,0.85491,0.55692,0.47356,0.82345,0.000132193,0.000132193,0.000132193
188,113.374,0.58762,0.58277,0.839,0.9843,0.9817,0.99409,0.86274,0.55286,0.46658,0.82296,0.000123941,0.000123941,0.000123941
189,113.941,0.72275,0.65828,0.8497,0.9843,0.9817,0.99409,0.86274,0.55286,0.46658,0.82296,0.00011569,0.00011569,0.00011569
190,114.516,0.6117,0.57626,0.81836,0.98406,0.98589,0.99409,0.86404,0.54704,0.46965,0.82275,0.000107438,0.000107438,0.000107438
191,117.94,0.65432,0.69603,0.80689,0.98097,0.99383,0.99409,0.86308,0.54286,0.47099,0.82213,9.91865e-05,9.91865e-05,9.91865e-05
192,118.558,0.74177,0.77004,0.88985,0.97956,0.99706,0.99409,0.86479,0.54817,0.4713,0.82169,9.09349e-05,9.09349e-05,9.09349e-05
193,119.169,0.71119,0.73223,0.82428,0.97956,0.99706,0.99409,0.86479,0.54817,0.4713,0.82169,8.26832e-05,8.26832e-05,8.26832e-05
194,119.743,0.68418,0.77724,0.82501,0.97912,0.9986,0.99409,0.85871,0.54935,0.46551,0.82176,7.44316e-05,7.44316e-05,7.44316e-05
195,120.331,0.65552,0.74306,0.83508,0.97939,0.99968,0.99409,0.86103,0.55208,0.47128,0.82185,6.61799e-05,6.61799e-05,6.61799e-05
196,120.911,0.69596,0.73526,0.85879,0.97942,0.99925,0.99409,0.85745,0.55963,0.46718,0.82291,5.79283e-05,5.79283e-05,5.79283e-05
197,121.431,0.67745,0.75683,0.82136,0.97942,0.99925,0.99409,0.85745,0.55963,0.46718,0.82291,4.96766e-05,4.96766e-05,4.96766e-05
198,121.982,0.70424,0.76271,0.86112,0.97961,0.99931,0.99364,0.85845,0.56356,0.47021,0.82297,4.1425e-05,4.1425e-05,4.1425e-05
199,122.506,0.68965,0.76832,0.80335,0.97976,0.99895,0.99364,0.8552,0.57005,0.47397,0.82254,3.31733e-05,3.31733e-05,3.31733e-05
200,123.125,0.75293,0.74548,0.88151,0.97999,0.99926,0.99364,0.8522,0.57152,0.47488,0.82284,2.49217e-05,2.49217e-05,2.49217e-05
