epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,27.4697,1.20748,1.60101,0.97845,0.80095,0.42009,0.64991,0.43137,1.48993,2.19642,1.10424,0.00132868,0.00132868,0.00132868
43,28.1314,1.19886,1.41452,0.94429,0.69082,0.54349,0.66312,0.43697,1.4015,1.97356,1.07439,0.00132043,0.00132043,0.00132043
44,28.7513,1.20124,1.37718,0.98164,0.72491,0.59347,0.66178,0.42436,1.38703,1.67115,1.04433,0.00131218,0.00131218,0.00131218
45,29.3351,1.16628,1.4921,0.96689,0.72491,0.59347,0.66178,0.42436,1.38703,1.67115,1.04433,0.00130393,0.00130393,0.00130393
46,29.9459,1.11713,1.34567,0.95233,0.73776,0.58437,0.68962,0.44621,1.3234,1.60844,1.01421,0.00129568,0.00129568,0.00129568
47,30.5405,1.159,1.42695,0.95825,0.81359,0.66042,0.78446,0.52601,1.2227,1.42503,0.97789,0.00128742,0.00128742,0.00128742
48,31.156,1.26687,1.50184,0.90784,0.7678,0.78652,0.83361,0.56727,1.17271,1.34812,0.9671,0.00127917,0.00127917,0.00127917
49,31.6948,1.24506,1.45268,1.0115,0.7678,0.78652,0.83361,0.56727,1.17271,1.34812,0.9671,0.00127092,0.00127092,0.00127092
50,32.2511,1.25247,1.37556,1.02552,0.74659,0.7744,0.82769,0.56543,1.19008,1.34316,0.96789,0.00126267,0.00126267,0.00126267
51,32.8427,1.22506,1.33269,0.9798,0.78267,0.76924,0.83645,0.55992,1.21468,1.28175,0.9787,0.00125442,0.00125442,0.00125442
52,33.527,1.07951,1.34328,0.9638,0.75008,0.78722,0.82985,0.57637,1.16235,1.26178,0.9738,0.00124617,0.00124617,0.00124617
53,34.2328,1.27663,1.46242,0.97097,0.75008,0.78722,0.82985,0.57637,1.16235,1.26178,0.9738,0.00123791,0.00123791,0.00123791
54,34.8363,1.18286,1.22473,0.97034,0.77189,0.78931,0.83102,0.58039,1.16036,1.31298,0.97299,0.00122966,0.00122966,0.00122966
55,35.449,1.19424,1.34993,0.98149,0.798,0.7313,0.83742,0.57993,1.14258,1.33343,0.97104,0.00122141,0.00122141,0.00122141
56,36.0434,1.18985,1.23826,0.98492,0.90397,0.72292,0.85743,0.5725,1.16158,1.18809,0.97223,0.00121316,0.00121316,0.00121316
57,36.6363,1.10758,1.21776,1.00979,0.90397,0.72292,0.85743,0.5725,1.16158,1.18809,0.97223,0.00120491,0.00120491,0.00120491
58,37.2515,1.22337,1.40923,1.03117,0.89712,0.78746,0.86823,0.58499,1.23776,1.14567,1.00569,0.00119666,0.00119666,0.00119666
59,37.8647,1.21066,1.36581,0.99347,0.82432,0.79691,0.86047,0.5889,1.20821,1.1266,0.99212,0.0011884,0.0011884,0.0011884
60,38.4594,1.22097,1.33167,0.96691,0.90245,0.85189,0.88856,0.64685,1.09474,1.04876,0.95115,0.00118015,0.00118015,0.00118015
61,39.0508,0.92837,1.10584,0.91449,0.90245,0.85189,0.88856,0.64685,1.09474,1.04876,0.95115,0.0011719,0.0011719,0.0011719
62,39.6589,1.20659,1.28963,0.93712,0.94421,0.86217,0.89416,0.68082,0.99499,0.98517,0.92713,0.00116365,0.00116365,0.00116365
63,40.2711,1.1576,1.20252,0.93119,0.94711,0.86789,0.90605,0.68513,0.99394,0.95815,0.9293,0.0011554,0.0011554,0.0011554
64,40.882,1.07863,1.21118,0.92334,0.94703,0.84688,0.90666,0.67972,0.99944,0.91696,0.93049,0.00114715,0.00114715,0.00114715
65,41.4596,1.16897,1.20816,0.93491,0.94703,0.84688,0.90666,0.67972,0.99944,0.91696,0.93049,0.00113889,0.00113889,0.00113889
66,42.0675,1.1665,1.18592,0.96003,0.94785,0.85224,0.91459,0.68637,0.99175,0.86689,0.92615,0.00113064,0.00113064,0.00113064
67,42.6747,1.07922,1.17514,0.93853,0.89185,0.88021,0.91804,0.6836,1.00139,0.85909,0.92784,0.00112239,0.00112239,0.00112239
68,43.2635,1.06747,1.24492,0.92989,0.94706,0.79792,0.91388,0.67834,1.02317,0.91563,0.93053,0.00111414,0.00111414,0.00111414
69,43.8202,1.01124,1.27427,0.9702,0.94706,0.79792,0.91388,0.67834,1.02317,0.91563,0.93053,0.00110589,0.00110589,0.00110589
70,44.4523,1.15237,1.20669,0.93837,0.87464,0.84994,0.89837,0.66446,1.03675,0.94348,0.92912,0.00109764,0.00109764,0.00109764
71,45.0691,1.02755,1.12132,0.92444,0.90729,0.86745,0.90718,0.66822,1.02568,0.91951,0.92905,0.00108938,0.00108938,0.00108938
72,45.6618,0.99848,1.00714,0.92747,0.86012,0.85014,0.91956,0.67678,1.01338,0.90952,0.92101,0.00108113,0.00108113,0.00108113
73,46.2518,1.05147,1.10601,0.92761,0.86012,0.85014,0.91956,0.67678,1.01338,0.90952,0.92101,0.00107288,0.00107288,0.00107288
74,46.8322,1.06249,1.08558,0.93056,0.90799,0.84308,0.91825,0.67308,1.00494,0.86894,0.9148,0.00106463,0.00106463,0.00106463
75,47.4031,1.10276,1.16895,0.97074,0.94767,0.84757,0.92661,0.66228,1.00428,0.84874,0.91805,0.00105638,0.00105638,0.00105638
76,48.1133,1.06662,1.1688,0.94141,0.93331,0.90081,0.94223,0.67068,0.98561,0.81069,0.90904,0.00104813,0.00104813,0.00104813
77,48.6781,1.04431,1.0013,0.9084,0.93331,0.90081,0.94223,0.67068,0.98561,0.81069,0.90904,0.00103987,0.00103987,0.00103987
78,49.2716,1.10379,1.07809,0.93442,0.94668,0.89498,0.94922,0.70202,0.91826,0.7725,0.89747,0.00103162,0.00103162,0.00103162
79,49.8778,1.07051,1.01653,0.9176,0.95754,0.92276,0.95236,0.73379,0.88205,0.75367,0.89342,0.00102337,0.00102337,0.00102337
80,50.4862,1.07341,1.07033,0.91188,0.95557,0.90208,0.95218,0.72328,0.91686,0.75469,0.89913,0.00101512,0.00101512,0.00101512
81,51.0572,1.01092,1.00174,0.92587,0.95557,0.90208,0.95218,0.72328,0.91686,0.75469,0.89913,0.00100687,0.00100687,0.00100687
82,51.6161,1.01243,0.98228,0.90725,0.94182,0.91875,0.94964,0.7246,0.91159,0.76714,0.89929,0.000998616,0.000998616,0.000998616
83,52.2232,0.94852,1.01501,0.88152,0.94691,0.89817,0.9505,0.72429,0.89482,0.75942,0.89762,0.000990365,0.000990365,0.000990365
84,52.8111,0.95122,1.04452,0.8787,0.9488,0.88238,0.93771,0.72252,0.89721,0.76629,0.89779,0.000982113,0.000982113,0.000982113
85,53.3715,1.11069,1.10631,0.94566,0.9488,0.88238,0.93771,0.72252,0.89721,0.76629,0.89779,0.000973861,0.000973861,0.000973861
86,53.9465,0.97265,0.91306,0.89712,0.93119,0.88542,0.93685,0.72145,0.88879,0.75905,0.89684,0.00096561,0.00096561,0.00096561
87,54.5275,0.9566,0.96696,0.90968,0.94554,0.89375,0.94522,0.73606,0.8507,0.71981,0.88857,0.000957358,0.000957358,0.000957358
88,55.1451,0.91621,1.05464,0.90511,0.92782,0.90208,0.95796,0.74281,0.83481,0.72011,0.88617,0.000949106,0.000949106,0.000949106
89,55.7284,0.93347,1.09302,0.90482,0.92782,0.90208,0.95796,0.74281,0.83481,0.72011,0.88617,0.000940855,0.000940855,0.000940855
